object_name,seed,params,matched_image,llm_model,text_prompt
RockingChair,,,,gemma3:27b-it-q8_0,"""A comfortable wooden rocking chair with a woven seat and back, detailed carvings, and a warm, inviting aesthetic."""
GreenMonitor,,,,gemma3:27b-it-q8_0,"""A bulky, vintage green computer monitor with a curved screen, detailed buttons, and a slightly retro aesthetic."""
RotaryTelephone,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A vintage table-top rotary telephone with a retro design, polished copper finish, and detailed handset. Features an ornate base with engraved patterns and a coiled phone cord."""
BrickHouse,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A cozy two-story brick house with a steep red tiled roof, surrounded by a wooden picket fence painted white."""
GlowingOrb,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A glowing spherical orb floating above a weathered stone pedestal, emitting soft light in shades of blue and purple."""
SphericalRobot,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A sleek spherical robot with a metallic surface combining gold and silver tones. Features small control panels and buttons with subtle lighting."""
BronzeOwl,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A detailed bronze owl statue perched on a sturdy tree branch, realistic feathers, and a wise expression."""
RoboticArm,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A sleek, futuristic robotic arm with articulated joints, metallic silver body, and glowing blue control panels placed on a clean white table."""
LogCabin,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A charming rustic log cabin made of hand-hewn timber, with a large stone chimney, wide wooden porch, and a swing hanging from the rail."""
BlockyRobot,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A blocky, colorful robot with orange and teal panels, featuring movable arms and legs with visible joints and buttons."""
VintageCamera,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A classic vintage camera with a dark brown leather case, brass accents, and a removable lens cap attached to the strap."""
ToyBlaster,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A sleek, futuristic red blaster with clear plastic magazine, holographic sight, and glowing blue control elements."""
DogRobot,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A metallic dog-shaped robot on four articulated legs, silver body with black accents, featuring sensors and a dynamic design."""
TransistorRadio,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A compact portable radio with a dark vinyl cover, metal speaker grille, and brand emblem centered on the front panel."""
Bulldozer,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A heavy-duty yellow bulldozer with a black steel frame, equipped with a wide, movable front blade for pushing earth."""
SailingShip,,,,deepseek-r1:14b-qwen-distill-q8_0,"""An old wooden ship with aged copper and weathered brown wood, featuring detailed deck railings, ropes, and sailors at work."""
CartoonRocket,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A whimsical cartoon-style rocket with a red domed cabin, black antenna, teal body accented by red bands, and sleek black connectors."""
DeliveryVan,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A sturdy vintage delivery van with a faded green exterior, square windows, rusted roof rack, and peeling decals on its sides."""
VictorianMansion,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A grand Victorian mansion with stone masonry, intricate wooden trim, large bay windows, and an elegant wraparound porch."""
Bookshelf,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A beautifully crafted wooden bookshelf with detailed carvings, natural wood tones, and multiple adjustable shelves for storage."""
RockingChair,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A sturdy wooden rocking chair with a hand-woven cane seat and matching backrest, finished in rich brown wood tones."""
GreenMonitor,,,,deepseek-r1:14b-qwen-distill-q8_0,"""A classic CRT-style computer monitor with a green phosphor screen, beige plastic casing, and control buttons on the side."""
RotaryTelephone,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A vintage rotary telephone with a polished copper body, detailed engravings, circular dial, and curved handle. Features an ornate base with floral motifs on a dark wooden desk."""
BrickHouse,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A two-story brick house with a steep red-tile roof, white trim, and picket fence. Includes bay windows, a wraparound porch, and a quaint garden in front."""
GlowingOrb,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A glowing glass orb emitting soft blue light placed atop a weathered stone pedestal in an ancient ruin setting."""
SphericalRobot,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Shiny spherical robot with gold body, silver accents, and rotating panels. Features glowing blue lights, retractable arms, and sleek futuristic design."""
BronzeOwl,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A bronze owl sculpture with detailed feathers, perched on an aged tree branch in a dimly lit forest clearing."""
RoboticArm,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Silver robotic arm with glowing joints, advanced sensors, and precise movements. Sitting on a sleek white table in a high-tech lab setting."""
LogCabin,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A cozy log cabin made of rough-hewn wood, featuring a tall stone chimney and wooden porch surrounded by pine trees."""
BlockyRobot,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Vivid blocky robot with orange body, teal accents, and mechanical joints. Standing on a futuristic platform with glowing energy core."""
VintageCamera,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A vintage film camera with chrome finish, viewfinder, film compartment, and attached brown leather case."""
ToyBlaster,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Red plastic toy blaster with glowing orange barrel, ergonomic grip, and clear magazine showing neon ammo."""
DogRobot,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Shiny metallic dog-shaped robot with articulated legs, sensors on head, and futuristic design elements. Standing alert in a modern cityscape."""
TransistorRadio,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A portable transistor radio with black vinyl cover, metal speaker grille, and brand logo on front. Sitting on a vintage wooden table."""
Bulldozer,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Yellow and black Caterpillar bulldozer with functional front blade, realistic tracks, and detailed cab. Positioned on rugged terrain."""
SailingShip,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Old-fashioned ship with copper hull, brown rigging, and detailed deck planks. Sailing under a clear blue sky with white clouds."""
CartoonRocket,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A colorful rocket with red dome, black antenna, teal body, and red bands. Sitting on launch pad with glowing exhaust."""
DeliveryVan,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Rusty green delivery van with boxy shape, square windows, and faded logo. Resting on gravel driveway with a few crates nearby."""
VictorianMansion,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A grand Victorian mansion with stone bricks, ornate trim, bay windows, and wraparound porch surrounded by lush gardens."""
Bookshelf,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Solid wooden bookshelf with carved floral motifs, adjustable shelves, and a polished surface holding vintage books."""
RockingChair,,,,deepseek-r1:32b-qwen-distill-q8_0,"""Hand-carved wooden rocking chair with woven rush seat and high back. Sitting in a cozy living room with soft lighting."""
GreenMonitor,,,,deepseek-r1:32b-qwen-distill-q8_0,"""A vintage green monochrome computer screen with glowing display, metal frame, and retro buttons on the side."""
RotaryTelephone,,,,llama3.1:8b,"""A vintage-style, copper-plated rotary phone with ornate details on the body, including intricate engravings, scrollwork, and a distinctive bell."""
BrickHouse,,,,llama3.1:8b,"""A two-story residential building made of weathered brick with a bright red clay tile roof, a white picket fence, and lush greenery surrounding the property."""
GlowingOrb,,,,llama3.1:8b,"""A large, glowing crystal sphere sitting atop a simple, weathered stone pedestal in a minimalist setting, surrounded by dim ambient light."""
SphericalRobot,,,,llama3.1:8b,"""A metallic spherical robot with a smooth, reflective surface featuring intricate patterns of interlocking gold and silver circuits on its body."""
BronzeOwl,,,,llama3.1:8b,"""A bronze cast sculpture of an owl in mid-flight, perched on a sturdy branch of a living tree, with intricate details on the bird's feathers and claws."""
RoboticArm,,,,llama3.1:8b,"""A sleek, high-tech robotic arm resting on a modern, metallic table surface, with a transparent acrylic or glass sleeve displaying its internal mechanisms."""
LogCabin,,,,llama3.1:8b,"""A cozy, one-story log cabin nestled among trees, featuring a large stone chimney, a weathered wooden porch, and a natural surroundings with overgrown foliage."""
BlockyRobot,,,,llama3.1:8b,"""A chunky, block-shaped robot with bright orange and teal color scheme, sporting articulated limbs with visible joints, set against a plain white or metallic background."""
VintageCamera,,,,llama3.1:8b,"""A vintage-style film camera made of brass or chrome, wrapped in a worn leather strap and case, with a classic lens and viewfinder."""
ToyBlaster,,,,llama3.1:8b,"""A futuristic-looking, compact toy blaster featuring a bright red body, a transparent plastic magazine, and a sleek, angular design with metallic accents."""
DogRobot,,,,llama3.1:8b,"""A metallic robot resembling a canine creature, with four articulated legs, glowing blue or red accents on its joints, and a futuristic, streamlined body."""
TransistorRadio,,,,llama3.1:8b,"""A compact, portable transistor radio from the 1960s-70s with a dark-colored vinyl cover, a metal speaker grille, and a prominent brand logo on the front."""
Bulldozer,,,,llama3.1:8b,"""A large, industrial bulldozer featuring a bright yellow body, black accents, and a movable front blade with visible hydraulic lines and a heavy-duty steel structure."""
SailingShip,,,,llama3.1:8b,"""A sailing ship from the 19th century, made of weathered wood with a copper-plated hull, a brown or beige sail, and intricate carvings on its deck and railings."""
CartoonRocket,,,,llama3.1:8b,"""A colorful, cartoon-style rocket ship featuring a bright red dome-shaped nose, a long, sleek black antenna, a teal or blue-green cylindrical body, and distinctive red stripes on its sides."""
DeliveryVan,,,,llama3.1:8b,"""A weathered, retro-style delivery van from the 1960s-70s with a box-shaped body, a faded rust-red or green paint job, and large square windows with a mesh grille."""
VictorianMansion,,,,llama3.1:8b,"""A grand, Victorian-era mansion constructed from weathered stone bricks, featuring intricate carvings on its doorframe and walls, large bay windows, and a wraparound porch with ornate railings."""
Bookshelf,,,,llama3.1:8b,"""A sturdy, handcrafted wooden bookshelf featuring intricately carved wooden panels on the sides and front, multiple adjustable shelves with wooden supports, and a classic, timeless design."""
RockingChair,,,,llama3.1:8b,"""A traditional, hand-hewn wooden rocking chair with a worn, natural finish, a sturdy wooden frame, a woven wicker or rattan seat and backrest, and a classic curved armrest."""
GreenMonitor,,,,llama3.1:8b,"""A vintage-style CRT computer monitor from the 1980s-90s featuring a bright green phosphorescent screen, a chunky metal cabinet with multiple ports on the back, and a classic, blocky design."""
RotaryTelephone,,,, llama3.1:70b-instruct-q4_0,"""An antique, intricately detailed copper rotary phone with ornate engravings, rounded body, and a circular dial pad, sitting on a worn wooden surface."","
BrickHouse,,,, llama3.1:70b-instruct-q4_0,"""A traditional two-story brick house with a bright red terra cotta tiled roof, white trim, green grass, and a white picket fence surrounding the property."","
GlowingOrb,,,, llama3.1:70b-instruct-q4_0,"""A mysterious, pulsating glowing orb hovering above a weathered gray stone pedestal, set amidst a darkened environment with subtle mist effects."","
SphericalRobot,,,, llama3.1:70b-instruct-q4_0,"""A futuristic, metallic spherical robot with an intricate gold and silver filigree design, featuring a series of small circular indentations and a glowing blue core."","
BronzeOwl,,,, llama3.1:70b-instruct-q4_0,"""An elegant bronze sculpture of an owl perched on a gnarled wooden branch, with detailed feathers, wise eyes, and subtle verdigris patina effects."","
RoboticArm,,,, llama3.1:70b-instruct-q4_0,"""A sleek, metallic robotic arm resting on a minimalist steel table, featuring glowing blue accents, cable management systems, and a precise claw-like gripper."","
LogCabin,,,, llama3.1:70b-instruct-q4_0,"""A cozy, weathered rustic log cabin nestled amidst dense foliage, featuring a natural stone chimney, a wooden porch with a swing, and warm, golden lighting spilling from within."","
BlockyRobot,,,, llama3.1:70b-instruct-q4_0,"""A stylized, blocky robot with bright orange and teal accents, featuring articulated limbs, large, round eyes, and a chunky, geometric body design."","
VintageCamera,,,, llama3.1:70b-instruct-q4_0,"""An antique film camera encased in a worn, brown leather satchel with brass buckles, accompanied by a woven strap and subtle signs of aging."","
ToyBlaster,,,, llama3.1:70b-instruct-q4_0,"""A futuristic, bright red toy blaster featuring a transparent plastic magazine, glowing blue accents, and an ergonomic grip design with raised, geometric patterns."","
DogRobot,,,, llama3.1:70b-instruct-q4_0,"""A stylized, metallic canine robot with shiny silver fur, featuring articulated legs, glowing blue circuits, and sleek, aerodynamic body lines inspired by sci-fi concepts."","
TransistorRadio,,,, llama3.1:70b-instruct-q4_0,"""A vintage, portable transistor radio encased in a dark brown leatherette cover, adorned with a metallic speaker grille, a prominent brand logo on the front, and nostalgic, tactile buttons."","
Bulldozer,,,, llama3.1:70b-instruct-q4_0,"""A heavy-duty yellow and black bulldozer featuring a movable front blade, robust caterpillar tracks, and a chunky, geometric body design, set amidst a construction site environment."","
SailingShip,,,, llama3.1:70b-instruct-q4_0,"""An ornate sailing ship featuring warm, weathered copper and brown hues, intricate wooden carvings on the deck, billowing white sails, and delicate rope rigging details."","
CartoonRocket,,,, llama3.1:70b-instruct-q4_0,"""A whimsical, cartoon-inspired rocket featuring a bright red dome top, slender black antenna, and a teal cylindrical body with bold, red accent stripes and chunky, geometric connectors."","
DeliveryVan,,,, llama3.1:70b-instruct-q4_0,"""A distressed, vintage delivery van featuring a boxy shape, worn, faded green paintwork, square windows, and a rusty roof rack loaded with wooden crates and nostalgic accessories."","
VictorianMansion,,,, llama3.1:70b-instruct-q4_0,"""An opulent, Victorian-era mansion constructed from weathered stone bricks, adorned with intricate ornate trim, expansive bay windows, and a grand, wraparound porch with delicate wrought iron railings."","
Bookshelf,,,, llama3.1:70b-instruct-q4_0,"""A sturdy, wooden bookshelf featuring intricate carvings on the frame, adjustable shelving units, and rows of leather-bound books with golden accents and worn, paper pages."","
RockingChair,,,, llama3.1:70b-instruct-q4_0,"""A cozy, handcrafted wooden rocking chair featuring an intricately woven wicker seat and backrest, adorned with soft, plush cushions in warm, natural colors and subtle signs of aging."","
GreenMonitor,,,, llama3.1:70b-instruct-q4_0,"""An antique, boxy computer monitor featuring a faded green phosphor display, beige plastic casing, and nostalgic, tactile buttons with minimalistic design elements."""
RotaryTelephone,,,,qwen3:14b,"""A vintage copper rotary telephone with ornate engraved patterns, a polished brass dial, and a brown leather cord. Features a curved receiver, detailed metal accents, and a warm patina finish."""
BrickHouse,,,,qwen3:14b,"""A two-story brick house with warm red terracotta bricks, a sloped red clay roof, and a white picket fence. Includes wooden windows, a stone foundation, and a front porch with a swing."""
GlowingOrb,,,,qwen3:14b,"""A glowing orb with a soft blue light, resting on a weathered granite pedestal. The orb has a smooth, reflective surface with faint geometric patterns, and the pedestal has moss-like textures."""
SphericalRobot,,,,qwen3:14b,"""A spherical robot with a metallic gold and silver surface, polished to a mirror finish. Features rotating joints, glowing LED sensors, and a sleek, futuristic design with angular accents."""
BronzeOwl,,,,qwen3:14b,"""A bronze owl sculpture with a detailed, weathered patina, perched on a gnarled wooden branch. The owl has large, inlaid eyes, spread wings, and a realistic feather texture."""
RoboticArm,,,,qwen3:14b,"""A sleek, futuristic robotic arm with a matte black finish, articulated joints, and a claw-like gripper. Features glowing blue circuit lines, a metallic sheen, and a high-tech, minimalist design."""
LogCabin,,,,qwen3:14b,"""A rustic log cabin with weathered cedar logs, a stone chimney with a black metal pipe, and a wooden porch with a thatched roof. Includes a front door with a window and a small garden bed."""
BlockyRobot,,,,qwen3:14b,"""A blocky robot with bright orange and teal panels, articulated limbs with exposed joints, and a metallic sheen. Features a glowing red eye and a modular, retro-futuristic design."""
VintageCamera,,,,qwen3:14b,"""A vintage 35mm camera in a brown leather case with brass fittings. Features a glass lens, a chrome shutter, and a textured leather grip with stitching and a brand logo on the front."""
ToyBlaster,,,,qwen3:14b,"""A futuristic red toy blaster with a transparent magazine showing glowing blue bullets. Features a black grip, a telescopic scope, and a stylized trigger with glowing buttons."""
DogRobot,,,,qwen3:14b,"""A metallic dog-like robot with a polished silver body, articulated legs with joint details, and glowing blue LED eyes. Features a sleek, aerodynamic design with retractable claws."""
TransistorRadio,,,,qwen3:14b,"""A portable transistor radio with a dark navy cover, a mesh speaker grille, and a circular brand logo on the front. Features a chrome dial, a leather handle, and a retro 1970s design."""
Bulldozer,,,,qwen3:14b,"""A yellow and black bulldozer with a movable front blade, large rubber tracks, and a cab with a window. Features a textured yellow body, a steel blade, and a black roof with a company logo."""
SailingShip,,,,qwen3:14b,"""A ship with copper and brown wooden decks, intricate railings, and a polished copper hull. Features a gabled roof, a mast with a sail, and detailed deck planks with rope textures."""
CartoonRocket,,,,qwen3:14b,"""A cartoonish rocket with a red dome top, a black antenna, and a teal cylindrical body with red bands. Features black connectors, a yellow nose cone, and a stylized flame tail."""
DeliveryVan,,,,qwen3:14b,"""A weather-worn vintage delivery van with a boxy shape, rusted faded green paint, square windows, and a rusty steel roof rack. Features a dented body, a yellow stripe, and a vintage logo on the side."""
VictorianMansion,,,,qwen3:14b,"""A Victorian mansion with stone brick walls, ornate white trim, bay windows with stained glass, and a wraparound porch with columns. Features a gabled roof, a clock tower, and a grand entrance door."""
Bookshelf,,,,qwen3:14b,"""A wooden bookshelf with intricate floral carvings, adjustable shelves, and a dark mahogany finish. Features brass brackets, a curved back panel, and a polished surface with a rustic texture."""
RockingChair,,,,qwen3:14b,"""A wooden rocking chair with a woven rattan seat and back, a curved wooden frame, and a smooth finish. Features a cushioned seat, a curved backrest, and a rocking motion with wooden legs."""
GreenMonitor,,,,qwen3:14b,"""A vintage green CRT computer monitor with a bezel, a chrome frame, and a green screen. Features a rounded shape, a power button, and a retro 1980s design with a stand."""
RotaryTelephone,,,,qwen3:32b,"""A vintage copper rotary telephone with deep patina, ornate floral engravings on the base, a carved wooden receiver, and a cradle with detailed scrollwork, featuring a bakelite dial and black bakelite earpiece.""  "
BrickHouse,,,,qwen3:32b,"""A two-story tan brick colonial house with a terracotta red tiled roof, white picket fence, symmetrical windows with dark trim, and a centered front door with a brass knocker.""  "
GlowingOrb,,,,qwen3:32b,"""A floating translucent blue-glowing orb hovering above a polished granite pedestal with concentric etched patterns, emitting a soft ethereal light in a dimly lit chamber.""  "
SphericalRobot,,,,qwen3:32b,"""A metallic spherical robot with interlocking gold and silver segments, a glowing blue visor, and articulated joints, featuring geometric patterns and a sleek, reflective surface.""  "
BronzeOwl,,,,qwen3:32b,"""A lifelike bronze owl with detailed feather textures, perched on a weathered oak branch, green patina with brown accents, and forward-gazing eyes on a stone base.""  "
RoboticArm,,,,qwen3:32b,"""A sleek, high-tech robotic arm with exposed hydraulics, matte black metallic finish, glowing blue circuitry joints, and a precision gripper resting on a minimalist steel table.""  "
LogCabin,,,,qwen3:32b,"""A rough-hewn pine log cabin with a gray stone chimney, a weathered wooden wraparound porch, a slanted cedar roof, and a central front door with iron hinges.""  "
